本文,歌人,歌集,年代,雑誌
歸鄕　八首,島木赤彦,馬鈴薯の花,1910,アララギ
丘陵の芒見ゆるにうれしくて家のことはや思ひ居るかも,島木赤彦,馬鈴薯の花,1910,アララギ
疲れたる頭にしみる野の空氣うれしや朝の車の上に,島木赤彦,馬鈴薯の花,1910,アララギ
田に竝べし新藁束も家の妻にこの日かへるになつかしきもの,島木赤彦,馬鈴薯の花,1910,アララギ
大根こぐ少女を見れば丘の其所に我が家も近くある心地かな,島木赤彦,馬鈴薯の花,1910,アララギ
谷川の白くするどくいつまでも我につき來ぬトンネルを過ぎて,島木赤彦,馬鈴薯の花,1910,アララギ
谿深く夕燒の空の我が顏に赤く照りかへるこの寒さかな,島木赤彦,馬鈴薯の花,1910,アララギ
汽車の戸の雜木の夕日生れたる寂しき國に今かへり來っ,島木赤彦,馬鈴薯の花,1910,アララギ
まこと我を待ちてありやと冬の木の日ぐれの國のなつかしきからに,島木赤彦,馬鈴薯の花,1910,アララギ
野のものみな刈らるれば粗末なる土製の國に霜むすぶなる,島木赤彦,馬鈴薯の花,1910,アララギ
大根も秋菜も漬けぬ村の女は庭ベの土に栗をうづめぬ,島木赤彦,馬鈴薯の花,1910,アララギ
櫟の、冬葉のかげをくぐり居し禽の羽色はふと見えにけり,島木赤彦,馬鈴薯の花,1910,アララギ
柿の皮剝きてしまへば茶をいれぬ夜の長きこそうれしかりけれ,島木赤彦,馬鈴薯の花,1910,アララギ
夜寒の手栗を燒きたる眞白き手さびしかりし手うれしかりし手,島木赤彦,馬鈴薯の花,1910,アララギ
くどく言ふ女の前におとなしく煙草の烟をふきて居りけり,島木赤彦,馬鈴薯の花,1910,アララギ
水だまりじめじめと草の枯れ寢たる重みにあが眼は堪へかぬるかな,島木赤彦,馬鈴薯の花,1910,アララギ
すぐ其所に、粟稈の畠、白樺の裂けたる幹、獸の女,島木赤彦,馬鈴薯の花,1910,アララギ
破壊れたる女ぞと思ひ向へれば今はくよくよ愛しくてならず,島木赤彦,馬鈴薯の花,1910,アララギ
疲れつつ寢入りて居りぬ壊れたる心うつくしき寢顏なるかな,島木赤彦,馬鈴薯の花,1910,アララギ
ありし日の少女のやうな眼してなぜに今宵は迎へくるるや,島木赤彦,馬鈴薯の花,1910,アララギ
酒のめばほろほろ泣きぬ今は何もあきらめてある我が膝にむきて,島木赤彦,馬鈴薯の花,1910,アララギ
,島木赤彦,馬鈴薯の花,1910,アララギ
.二三五,島木赤彦,馬鈴薯の花,1910,アララギ
,島木赤彦,馬鈴薯の花,1910,アララギ
大正二年,島木赤彦,馬鈴薯の花,1910,アララギ
二三六,島木赤彦,馬鈴薯の花,1910,アララギ
この夕べ,島木赤彦,馬鈴薯の花,1910,アララギ
柱にかけし洋服の皺は寂しく垂りてあるかも,島木赤彦,馬鈴薯の花,1910,アララギ
倒るとすらむ日ぐれの室に,島木赤彦,馬鈴薯の花,1910,アララギ
今の我をすこし押したらばそのままに倒れんとする日は暮れにつつ,島木赤彦,馬鈴薯の花,1910,アララギ
わが側に農夫一人黙りつつありと思ふも疲れんとする,島木赤彦,馬鈴薯の花,1910,アララギ
茶を飮みて心靜まれ長靴の重みが足につきて居るかな,島木赤彦,馬鈴薯の花,1910,アララギ
林中,島木赤彦,馬鈴薯の花,1910,アララギ
丘陵の冬の林を裂くやうに白樺の幹の夕幾條も,島木赤彦,馬鈴薯の花,1910,アララギ
おのが身に思ひ落ちゆく眼をあげて寒き木肌に守られにけり,島木赤彦,馬鈴薯の花,1910,アララギ
ーと平芒黃いろの日のたまり林を出でし身のけはひかな,島木赤彦,馬鈴薯の花,1910,アララギ
道のへの石のかげにはいち日の霜消えずありわが步みかな,島木赤彦,馬鈴薯の花,1910,アララギ
遠くの、灯をこひしがる我が眼つき冬の林の空透きたるに,島木赤彦,馬鈴薯の花,1910,アララギ
諏訪湖　八首,島木赤彦,馬鈴薯の花,1910,アララギ
氷のいろ太陽に緩りぬれば船の腹地上に赤く塗られて居たり,島木赤彦,馬鈴薯の花,1910,アララギ
船孤つ丹に塗らるればさびさびに日は雪山のかげに沒りたり,島木赤彦,馬鈴薯の花,1910,アララギ
ま寂しく生れたる身は山かげに赤き船浮く湖を見にけり,島木赤彦,馬鈴薯の花,1910,アララギ
いと長き冬よりさめてささやけき波は寂しく動きたるかな,島木赤彦,馬鈴薯の花,1910,アララギ
孤つにて浮ぶ丹の船この春も山の湖水にひとつ丹の船,島木赤彦,馬鈴薯の花,1910,アララギ
このやうにあはれがりつつ身は今は赤く濕れたる舟に寄るかな,島木赤彦,馬鈴薯の花,1910,アララギ
平板に馴れし眼をこそばゆく明るき雲に今あぐるかな,島木赤彦,馬鈴薯の花,1910,アララギ
心よわくなりてある身を大切に山べの家に寢にかへるなり,島木赤彦,馬鈴薯の花,1910,アララギ
落葉松の萌黄の芽ぶき快樂の日は心臟にしのび來るかな,島木赤彦,馬鈴薯の花,1910,アララギ
萌黄の芽林にもえて,島木赤彦,馬鈴薯の花,1910,アララギ
萌黃の日林にみちて健康の丹頰の少女を步ませにけり,島木赤彦,馬鈴薯の花,1910,アララギ
うすうすと暮れ入る丘を汽車のゆげは赤くやはらかく流れたるかな,島木赤彦,馬鈴薯の花,1910,アララギ
ひそか灯に今は別るれほのぼのと雨ふる道は曉けてゐるかな,島木赤彦,馬鈴薯の花,1910,アララギ
兩側にいまだ眠れる家のさまわが身のけはひのいとほしさかな,島木赤彦,馬鈴薯の花,1910,アララギ
街道のほこりにしめるこまか雨心は今は消えんとするに,島木赤彦,馬鈴薯の花,1910,アララギ
心よわき我なれば今町そとの雨に佇みて息をするなり,島木赤彦,馬鈴薯の花,1910,アララギ
ひそかなるものを遺して遙々に步めば今は一人なるかな,島木赤彦,馬鈴薯の花,1910,アララギ
野をとほく步めるなべに落ちゐつる心おろおろ泣き出でにけり,島木赤彦,馬鈴薯の花,1910,アララギ
わかわかしき草の平地に出でしかば向股かゆく快くなれるかも,島木赤彦,馬鈴薯の花,1910,アララギ
流れ來るかな,島木赤彦,馬鈴薯の花,1910,アララギ
嫩草の步みのさはりしみじみとさびし心の流れ來るなる,島木赤彦,馬鈴薯の花,1910,アララギ
誰かに行きたくなりぬま寂しま草のみどりに身は冷えぬれば,島木赤彦,馬鈴薯の花,1910,アララギ
五六本榛の若芽のふく見つつおのが胸べに手をさはるなり,島木赤彦,馬鈴薯の花,1910,アララギ
子どもはみな悲しさうなる面わしてあが眼つぶれば來て竝ぶかな,島木赤彦,馬鈴薯の花,1910,アララギ
弟の徵兵檢査　五首,島木赤彦,馬鈴薯の花,1910,アララギ
奧蝦夷は草萌えたらん裸にて體ばかりにかかりてあらん,島木赤彦,馬鈴薯の花,1910,アララギ
公の徵しに召されて今は行く身は細々とやさしかるかな,島木赤彦,馬鈴薯の花,1910,アララギ
やさしく汝れを生みたる父母は手を額にしてうれひたまへり,島木赤彦,馬鈴薯の花,1910,アララギ
膏けのみなぎりさかる皮膚の張りわかき男の裸體おもほゆ,島木赤彦,馬鈴薯の花,1910,アララギ
島に住む男のからだ氣の張りの少しよわりて草をふむらん,島木赤彦,馬鈴薯の花,1910,アララギ
折からよ汽笛あはれに聞え來れ雨ふりにふる晝萌黃原,島木赤彦,馬鈴薯の花,1910,アララギ
鐵瓶の下しらしらと燃えぬればあはれなる晝の雨は降るなり,島木赤彦,馬鈴薯の花,1910,アララギ
下男らは爐に足投げぬ猶若葉雨白々と吹きさかる今,島木赤彦,馬鈴薯の花,1910,アララギ
廣き圍爐裏女の眼には春ふかき萌黃の雨のしみて來るなり,島木赤彦,馬鈴薯の花,1910,アララギ
歌a馬鈴薯の花,島木赤彦,馬鈴薯の花,1910,アララギ
四,島木赤彦,馬鈴薯の花,1910,アララギ
歌,島木赤彦,馬鈴薯の花,1910,アララギ
集,島木赤彦,馬鈴薯の花,1910,アララギ
切,島木赤彦,馬鈴薯の花,1910,アララギ
火,島木赤彦,馬鈴薯の花,1910,アララギ
八丈島（大正三年）,島木赤彦,馬鈴薯の花,1910,アララギ
船上其一,島木赤彦,馬鈴薯の花,1910,アララギ
靑海のもなかにゐつつ晝久し錦繪ならべ見居りけるかも,島木赤彦,馬鈴薯の花,1910,アララギ
天の原はるばる來つつ現かも海のいろ深く黑き山二つ,島木赤彦,馬鈴薯の花,1910,アララギ
みんなみに遠來しならん海づく日黑潮もはて山二つ見ゆ,島木赤彦,馬鈴薯の花,1910,アララギ
日のひかり照りみつる海の深蒼に一人ぼつつり眼をひらく,島木赤彦,馬鈴薯の花,1910,アララギ
晝深し禿げしボーイの卿動くデッキの上の空は靑しも,島木赤彦,馬鈴薯の花,1910,アララギ
全くに諦め得たる歡びの淚なかるる靑海の中に,島木赤彦,馬鈴薯の花,1910,アララギ
海の光いたも明るみ物をだに思はれなくも我がなれるかも,島木赤彦,馬鈴薯の花,1910,アララギ
天と水の光りの中に立ちてゐる我が影ばかり寂しきはなし,島木赤彦,馬鈴薯の花,1910,アララギ
夕映空まつ平らなる海のいろに我も染りて物をこそ思へ,島木赤彦,馬鈴薯の花,1910,アララギ
かぎろひの夕さりくれば栖に竝び雞のつがひも船の上にあはれ,島木赤彦,馬鈴薯の花,1910,アララギ
タ燒の空はあせぬれ深ぶかと波切うねりの片光りすも,島木赤彦,馬鈴薯の花,1910,アララギ
船上　其二,島木赤彦,馬鈴薯の花,1910,アララギ
ひそかにも止まれる船か霧小雨をぐろく尖る島山の下に,島木赤彦,馬鈴薯の花,1910,アララギ
ふかぶかと霧雨の中に刪笛のこだま響かふ山近みかも,島木赤彦,馬鈴薯の花,1910,アララギ
夜の錨下ろすとならし霧のなかに重き鎖の辷る響きはも,島木赤彦,馬鈴薯の花,1910,アララギ
荒磯岩家はもいづこ曉の雨を目透し我が見つるかも,島木赤彦,馬鈴薯の花,1910,アララギ
船上　其三,島木赤彦,馬鈴薯の花,1910,アララギ
島の山霧はれくれば海にゐる心寂しくならんとするも,島木赤彦,馬鈴薯の花,1910,アララギ
船上　其四,島木赤彦,馬鈴薯の花,1910,アララギ
艙口ゆ（より）小さき舟に下りにけり朝あけがたの霧の流れに,島木赤彦,馬鈴薯の花,1910,アララギ
まど下に小さき舟の來り居り霧のなかには見えにけるかも,島木赤彦,馬鈴薯の花,1910,アララギ
霧のなかの小さき舟にとび下りしうつそみの我が一人なりけり,島木赤彦,馬鈴薯の花,1910,アララギ
船口ゆ見ねばならねば降り落っる大粒の霧に顏を出したり,島木赤彦,馬鈴薯の花,1910,アララギ
霧雨にぬれたる肩を撫でにつつ小さき舟に一人立ちしも,島木赤彦,馬鈴薯の花,1910,アララギ
まことにも島に來つるか眼の前の山みな搖れて近づく我が船,島木赤彦,馬鈴薯の花,1910,アララギ
まさやかに曉の高岩かぐろ岩波どよもせり我が船近づく,島木赤彦,馬鈴薯の花,1910,アララギ
荒磯岩黑ぐろと霧はれにけり冬の芒の靑みたる見ゆ,島木赤彦,馬鈴薯の花,1910,アララギ
島の踊,島木赤彦,馬鈴薯の花,1910,アララギ
堂庭に踊る島子をかぞふれば七人だまり月の下びに,島木赤彦,馬鈴薯の花,1910,アララギ
踊り子のをどる後は椿の木かぐろみ光り月の下びに,島木赤彦,馬鈴薯の花,1910,アララギ
女一人唄うたふなる島踊りをどりひそまり月の下びに,島木赤彦,馬鈴薯の花,1910,アララギ
はるばるに波の遠音のひびきくる木のかげ深く月夜の踊り,島木赤彦,馬鈴薯の花,1910,アララギ
黑ぐろと夜を濡れ光る椿の木いたも更くるか月夜の踊り,島木赤彦,馬鈴薯の花,1910,アララギ
富士に似て海の中なる品の富士眼の前に黑く月夜の踊り,島木赤彦,馬鈴薯の花,1910,アララギ
月の下の光さびしみ踊り子のからだくるりとまはりけるかも,島木赤彦,馬鈴薯の花,1910,アララギ
大海のまん中にして島なるや流人踊りは悲しきろかも,島木赤彦,馬鈴薯の花,1910,アララギ
秋もはや今宵を踊りをさめなる後の月夜の更けにけるかも,島木赤彦,馬鈴薯の花,1910,アララギ
九,島木赤彦,馬鈴薯の花,1910,アララギ
胡類子の集,島木赤彦,馬鈴薯の花,1910,アララギ
荒磯べの芒の中に芒折り魚の鰓を貫きにけるかも,島木赤彦,馬鈴薯の花,1910,アララギ
うろくづの鰓にとほす冬芒未だも靑くとほしけるかも,島木赤彦,馬鈴薯の花,1910,アララギ
磯芒舌にあつれば鹹はゆしここにさびしく折りにけるかも,島木赤彦,馬鈴薯の花,1910,アララギ
みんなみの海にすむなる赤き魚しつぽりと提げ日は沈むかも,島木赤彦,馬鈴薯の花,1910,アララギ
夕づく日舟引き上ぐる漁師らの足みな傾ぎ遠岩の上に,島木赤彦,馬鈴薯の花,1910,アララギ
ーびきの赤き魚を吾が提げて芒の中の暮れ早みかも,島木赤彦,馬鈴薯の花,1910,アララギ
寒ざむと夕波さわぐ海づたひ海は見えずも芒の中に,島木赤彦,馬鈴薯の花,1910,アララギ
暮れぬれば芒の中に胡頽子の葉のほのぼの白し星の明りに,島木赤彦,馬鈴薯の花,1910,アララギ
ほのかなる草の靑みに夕星の夕ゐしづもる我がこころかも,島木赤彦,馬鈴薯の花,1910,アララギ
椿の木,島木赤彦,馬鈴薯の花,1910,アララギ
椿の蔭をんな音なく來りけり白き布團を乾しにけるかも,島木赤彦,馬鈴薯の花,1910,アララギ
はらはらと布團をすべる椿の花土にぞ止まる晝は深けれ,島木赤彦,馬鈴薯の花,1910,アララギ
眞白なる布團の上に只ひとつ椿の花のこぼれて久しき,島木赤彦,馬鈴薯の花,1910,アララギ
晝の音靜もりぬれば椿の花障子の外に零るる聞ゆ,島木赤彦,馬鈴薯の花,1910,アララギ
椿赤し島の童女が掌の上に卵をのせて賣る面わはも,島木赤彦,馬鈴薯の花,1910,アララギ
五,島木赤彦,馬鈴薯の花,1910,アララギ
いとどしく椿の花の明るみに面わ近づき來る童女はも,島木赤彦,馬鈴薯の花,1910,アララギ
冬の日は短けれども椿の下白き布團のふくらめるかも,島木赤彦,馬鈴薯の花,1910,アララギ
夜を寢れ布團の綿のふくらみに體うづまり物思ひもなし,島木赤彦,馬鈴薯の花,1910,アララギ
命あれば海のなかなる島の家ふとん暖かに寢らくものか,島木赤彦,馬鈴薯の花,1910,アララギ
島の芒,島木赤彦,馬鈴薯の花,1910,アララギ
船を出でし心現なし眞靑なる芒の中に入りにけるかも,島木赤彦,馬鈴薯の花,1910,アララギ
まさやかに朝の雨やみし芒のなか道さへ靑み踏みにけるかも,島木赤彦,馬鈴薯の花,1910,アララギ
いとどしく靑み靜もる芒のなか一人ぽつつり行きとどまらず,島木赤彦,馬鈴薯の花,1910,アララギ
芒の中いたも明るみ踏みて行く熔岩道の堅くもあるか,島木赤彦,馬鈴薯の花,1910,アララギ
いとどしく光のなかの靑芒露いつぱいに落ちも零れず,島木赤彦,馬鈴薯の花,1910,アララギ
靑々し芒のなかにーびきの牛を追ひ越しはろかなる道,島木赤彦,馬鈴薯の花,1910,アララギ
島芒い行き寂しむ身一人のうしろに大き海光り見ゆ,島木赤彦,馬鈴薯の花,1910,アララギ
芒の島あが乘りて來し一つ船煙を吐きて去るにかあるらし,島木赤彦,馬鈴薯の花,1910,アララギ
芒のなか步みとまれば綿津美の波の遠音のさやけく聞ゆ,島木赤彦,馬鈴薯の花,1910,アララギ
バナナ畑,島木赤彦,馬鈴薯の花,1910,アララギ
夕ぐるる磯の明りゆ步み入るバナナ畑の葉の茂りはも,島木赤彦,馬鈴薯の花,1910,アララギ
畑なかの土の一ところ夕日ありバナナの中に我れ深からし,島木赤彦,馬鈴薯の花,1910,アララギ
〇,島木赤彦,馬鈴薯の花,1910,アララギ
バナナの莖夕日に光り列びたり深ぶかとして葉かげは暗く,島木赤彦,馬鈴薯の花,1910,アララギ
いとどしく夕日に光るバナナの葉深み重なり未だは暮れず,島木赤彦,馬鈴薯の花,1910,アララギ
バナナの莖垂り葉大きくたまさかに暗きにひかる果の光りはも,島木赤彦,馬鈴薯の花,1910,アララギ
葉上にはバナナの房の黃の光りいよよ明るみいよよ暮るるも,島木赤彦,馬鈴薯の花,1910,アララギ
夕ぐるるバナナの中にーぽんのバナナを倒す音もこそすれ,島木赤彦,馬鈴薯の花,1910,アララギ
バナナ畑土やはらかに島少女足あと深く踏み行けるかも,島木赤彦,馬鈴薯の花,1910,アララギ
バナナの莖やはらかければ音もなし銘を打ちうち女なりけり,島木赤彦,馬鈴薯の花,1910,アララギ
島の子の長き垂り髮うち仰ぎ見らく幽けき果の光りはも,島木赤彦,馬鈴薯の花,1910,アララギ
いちじるきバナナの莖の切り口ゆ水は滴る土の暗みに,島木赤彦,馬鈴薯の花,1910,アララギ
島の子は寂しけれども夕日ぎし黃の果をふさに擔ぎけるかも,島木赤彦,馬鈴薯の花,1910,アララギ
ある時は,島木赤彦,馬鈴薯の花,1910,アララギ
,島木赤彦,馬鈴薯の花,1910,アララギ
,島木赤彦,馬鈴薯の花,1910,アララギ
バナナの皮剝きて投げたりさし出の磯岩黑きゆゑ波は靑きか,島木赤彦,馬鈴薯の花,1910,アララギ
日の光明らさまなる岩の上ゆ見入らざらめや波の靑みを,島木赤彦,馬鈴薯の花,1910,アララギ
高きより見下ろせば波の底も見ゆ大き岩沈み光り搖り見ゆ,島木赤彦,馬鈴薯の花,1910,アララギ
,島木赤彦,馬鈴薯の花,1910,アララギ
夕日の岩黑けれども薊の花咲くところにはかたまり咲くも,島木赤彦,馬鈴薯の花,1910,アララギ
薊咲く岩の上高み島の子の冷たき手をば引き上げしかも,島木赤彦,馬鈴薯の花,1910,アララギ
森林,島木赤彦,馬鈴薯の花,1910,アララギ
常磐木の林の中に家あらしある時な兒の泣き聲きこゆ,島木赤彦,馬鈴薯の花,1910,アララギ
椎林眞晝の空の明るみに烟ーすぢ立ちのぼり見ゆ,島木赤彦,馬鈴薯の花,1910,アララギ
五,島木赤彦,馬鈴薯の花,1910,アララギ
山の國（大正二年）,島木赤彦,馬鈴薯の花,1910,アララギ
諏訪湖,島木赤彦,馬鈴薯の花,1910,アララギ
夕燒空焦げきはまれる下にして氷らんとする湖の靜けさ,島木赤彦,馬鈴薯の花,1910,アララギ
冬空の天の夕燒にひたりたる褐色の湖は動かざりけり,島木赤彦,馬鈴薯の花,1910,アララギ
たあｋだかと繭の荷車を押す人の足の光りも氷らんとする,島木赤彦,馬鈴薯の花,1910,アララギ
押して行く繭の荷車に山の湖の夕照さむく片明りせり,島木赤彦,馬鈴薯の花,1910,アララギ
かわきたる草枯いろの山あひに湖は氷りて固まりにたり,島木赤彦,馬鈴薯の花,1910,アララギ
ニ五七,島木赤彦,馬鈴薯の花,1910,アララギ
この夕氷のいろに滲みたる空氣明りのいちじろく見ゆ,島木赤彦,馬鈴薯の花,1910,アララギ
おぼろおぼろ湖にくろめる山のいろも崩れんとする夜の寒さはや,島木赤彦,馬鈴薯の花,1910,アララギ
八ヶ岳,島木赤彦,馬鈴薯の花,1910,アララギ
野は今は白雲の群の片寄りに吹き寄せられし夕光りかな,島木赤彦,馬鈴薯の花,1910,アララギ
まばらなる冬木林にかんかんと響かんとする靑空のいろ,島木赤彦,馬鈴薯の花,1910,アララギ
野の中に暮るる一つ家いやましに凩のなかに靜もれるかも,島木赤彦,馬鈴薯の花,1910,アララギ
凩の吹きしづまれば瀨の鳴りのいづこともなし廣き野なかに,島木赤彦,馬鈴薯の花,1910,アララギ
冬山ゆ流れ出でたるひとすぢの川光り來も夕日の野べに,島木赤彦,馬鈴薯の花,1910,アララギ
かさかさと落葉林を通り拔けし夕明るさをたどき知られず,島木赤彦,馬鈴薯の花,1910,アララギ
あきらめねばならずと思ひ入りにつつ唾を冷たく嚥みこめるかも,島木赤彦,馬鈴薯の花,1910,アララギ
御牧ヶ原,島木赤彦,馬鈴薯の花,1910,アララギ
草深野丹にこもる莖のほのかたにさやらんとする身はあはれなり,島木赤彦,馬鈴薯の花,1910,アララギ
草むらの濃き紅に我が影の消えてまた來んいつの日かあらん,島木赤彦,馬鈴薯の花,1910,アララギ
人に告ぐる悲しみならず秋草に息を白じろと吐きにけるかも,島木赤彦,馬鈴薯の花,1910,アララギ
孤りなる死にをもすらんと喚きつつ錆び紅の草に胡坐をなせり,島木赤彦,馬鈴薯の花,1910,アララギ
草の藪はいや晝深く明るめれこの悲しみを守る心かな,島木赤彦,馬鈴薯の花,1910,アララギ
まがなしきこの心をも堪ふるか葉の紅の明るみの中に,島木赤彦,馬鈴薯の花,1910,アララギ
かへらんと今は嘆けれ靑空に煙草ふかして見やりけるかも,島木赤彦,馬鈴薯の花,1910,アララギ
犬蓼のくれなゐの莖はよわければ不便に思ひ踏みにけるかも,島木赤彦,馬鈴薯の花,1910,アララギ
いたましく天の火を吐く夜の山眼上にあふぐ驛は喑し,島木赤彦,馬鈴薯の花,1910,アララギ
遠どほに冬枯の道のぼり來て火の山の下の驛なりけり,島木赤彦,馬鈴薯の花,1910,アララギ
山の宿に酒のみしかば夜は深し心あやしくも笑はんとすも,島木赤彦,馬鈴薯の花,1910,アララギ
高木村,島木赤彦,馬鈴薯の花,1910,アララギ
褐色の草枯の上にいささかの草屋根いよよかわき光れり,島木赤彦,馬鈴薯の花,1910,アララギ
冬枯の山田の畦の幾段に夕日のかげる靜步みかも,島木赤彦,馬鈴薯の花,1910,アララギ
冬木の坂あからさまにし傾けば氷の湖ゆ照り返る明さ,島木赤彦,馬鈴薯の花,1910,アララギ
敷藁に滲み出でし泥は夕づく日未だ明けど氷りけるかも,島木赤彦,馬鈴薯の花,1910,アララギ
氷の湖ゆひた吹きあてるつのり風日を明かあかと搖る障子かな,島木赤彦,馬鈴薯の花,1910,アララギ
藁の上に竝べて下駄の乾してあり小さき赤緖も氷りたるかも,島木赤彦,馬鈴薯の花,1910,アララギ
雪の夜,島木赤彦,馬鈴薯の花,1910,アララギ
雪のふるひとつ草家に赤き灯がほうと點きぬる夕なりけり,島木赤彦,馬鈴薯の花,1910,アララギ
木のなかの赤き灯つつむぼろ雪いよよ靜に降りつもるかも,島木赤彦,馬鈴薯の花,1910,アララギ
乾ける空氣,島木赤彦,馬鈴薯の花,1910,アララギ
いとどしく暮れかわきたる空氣のなか芒は白く摧けんとすも,島木赤彦,馬鈴薯の花,1910,アララギ
夕まぐれわが顏のへに芒の穗いたも白める空氣のひびき,島木赤彦,馬鈴薯の花,1910,アララギ
夕寒き芒がなかに入りてゆくおのが姿の黝くもあるか,島木赤彦,馬鈴薯の花,1910,アララギ
夕明りあまり明けば冬木のなか泣く子をあやす思ひするかも,島木赤彦,馬鈴薯の花,1910,アララギ
はるばると空に向ひてすぼめたる眉に光引くひとつ星はも,島木赤彦,馬鈴薯の花,1910,アララギ
陸奧の女,島木赤彦,馬鈴薯の花,1910,アララギ
山驛の夜のひびきをしづめつつ笛鳴りにつつ遠去りにけり,島木赤彦,馬鈴薯の花,1910,アララギ
停車場に錢をかぞふる老人の手の灯明りに笛きこゆなり,島木赤彦,馬鈴薯の花,1910,アララギ
みちのくへ逃げてゆくとふ少女子と話なくなり笛きけるかも,島木赤彦,馬鈴薯の花,1910,アララギ
流らふ色,島木赤彦,馬鈴薯の花,1910,アララギ
靑草原洋傘のなか深ぶかと沈みにほへる面わなりけり,島木赤彦,馬鈴薯の花,1910,アララギ
日の明るき女の頰に靑草のにほへる色はかなしかりしか,島木赤彦,馬鈴薯の花,1910,アララギ
この靑む草の廣原のかなしみをしじめ集むる丹の頰なりけり,島木赤彦,馬鈴薯の花,1910,アララギ
うれひある目見をりをりにあげぬれば雲は眼ちかに靑草の原,島木赤彦,馬鈴薯の花,1910,アララギ
ゆゆしくも搖れ流らふ霧の流れ傘をかたむけ雨にならんとす,島木赤彦,馬鈴薯の花,1910,アララギ
二六三,島木赤彦,馬鈴薯の花,1910,アララギ
,島木赤彦,馬鈴薯の花,1910,アララギ
霧のなかに明るみ徹る肌のいろの心靜けさに堪へられぬかも,島木赤彦,馬鈴薯の花,1910,アララギ
病院,島木赤彦,馬鈴薯の花,1910,アララギ
二六四,島木赤彦,馬鈴薯の花,1910,アララギ
子の眼病に重大なる疑問を宣せられて直に東京に向ひぬ。夜ー夜,島木赤彦,馬鈴薯の花,1910,アララギ
汽車に搖られて七月二十四日曉飯田町に著けば直に車竝べて病院,島木赤彦,馬鈴薯の花,1910,アララギ
に伴ふ。疲れを休むるひまもなし。親心只恐れ急ぐに,島木赤彦,馬鈴薯の花,1910,アララギ
靜もれる車上の姿、みづからの病を知れる吾子が靜もり,島木赤彦,馬鈴薯の花,1910,アララギ
あか人力車動きてあるを覺ゆれど眼の前の子をこそ守れ,島木赤彦,馬鈴薯の花,1910,アララギ
ふと我にかへるわが身は暑ければ流るる汗を拭かんとすなり,島木赤彦,馬鈴薯の花,1910,アララギ
藥さす眼をおさへつつ眠るまでに疲れて遠く來らしめしか,島木赤彦,馬鈴薯の花,1910,アララギ
看護婦のみちびきのぼる梯子段淨く寂しく拭かれてありけり,島木赤彦,馬鈴薯の花,1910,アララギ
親心おろおろするも坐りゐて額の汗を拭きてやれども,島木赤彦,馬鈴薯の花,1910,アララギ
空瓶に煙草のほくそ拂ひたる心あやしく笑へざりけり,島木赤彦,馬鈴薯の花,1910,アララギ
とよもせる都會の中にたまさかに廓下を通る足音きこゆ,島木赤彦,馬鈴薯の花,1910,アララギ
廣らなる街の夕燒屋根ちかくいや燒けさかり寂しくもあるか,島木赤彦,馬鈴薯の花,1910,アララギ
親と子と寂しきときは蚊帳ぬちに枕竝べて寢て語り居り,島木赤彦,馬鈴薯の花,1910,アララギ
この父の顏見ゆるかとむごきこと問ふと思ひて問ひにけるかも,島木赤彦,馬鈴薯の花,1910,アララギ
父はけふ國にかへると聞きわけし幼き顏を見てやりにけり,島木赤彦,馬鈴薯の花,1910,アララギ
赤罌粟の花,島木赤彦,馬鈴薯の花,1910,アララギ
爼の魚いきいきと眼をあけり暮れ蒼みたる梅雨の厨に,島木赤彦,馬鈴薯の花,1910,アララギ
うつくしき血しほを指に染めにつつ生きものの命さきて我れ居り,島木赤彦,馬鈴薯の花,1910,アララギ
小さなる魚の命の斷たるればうつくしき血は流れながれぬ,島木赤彦,馬鈴薯の花,1910,アララギ
赤き血しほ地に垂れてあはれ炎々と燃えあがる靑き莖の上の花,島木赤彦,馬鈴薯の花,1910,アララギ
蒼やかに暮れただよへる土なれば花はこぼれて沈むがごとし,島木赤彦,馬鈴薯の花,1910,アララギ
夕ほろほろ赤罌粟の花はこぼるれば死なせし魚に念佛まうす,島木赤彦,馬鈴薯の花,1910,アララギ
わが眼の力あはれに疲るれば淚こぼるる器械の如くに,島木赤彦,馬鈴薯の花,1910,アララギ
さ蠅らと寄りあひて住める六畳の空氣にたまる夕日の赤さ,島木赤彦,馬鈴薯の花,1910,アララギ
わが家にこのごろ火をも焚かざれば一人物を書き夕ぐれにけり,島木赤彦,馬鈴薯の花,1910,アララギ
夕まぐれ音をひそめて歸り來し子どもは雨に濡れてをるかも,島木赤彦,馬鈴薯の花,1910,アララギ
夜おそく水を貰ひに行く道は桑の葉靑く灯を提ぐるなり,島木赤彦,馬鈴薯の花,1910,アララギ
薪くべて火をふくおのが脣に淚流るる拭けども拭けども,島木赤彦,馬鈴薯の花,1910,アララギ
靜やかに雲行きぬれば圓らなる靑桑の丘の動く思ひすも,島木赤彦,馬鈴薯の花,1910,アララギ
村會,島木赤彦,馬鈴薯の花,1910,アララギ
夜を深くいよよ默せる村會の庭は落葉の吹かるる音す,島木赤彦,馬鈴薯の花,1910,アララギ
何本目の蠟燭ならん霜の夜の蠟をとろとろ流しけるかも,島木赤彦,馬鈴薯の花,1910,アララギ
學校を建てねばならぬしんぱいの顏こそ竝べ蠟燭の明り,島木赤彦,馬鈴薯の花,1910,アララギ
冬山の萱ことごとく賣るといふ百姓の心あはれなりけり,島木赤彦,馬鈴薯の花,1910,アララギ
