本文,歌人,歌集,年代,雑誌
うゐきゃうの花の畑に宵はやく眠れる星を二人見にけり,島木赤彦,馬鈴薯の花,1910,アララギ
靜かなる曇りのおきに火の星のほのかに赤し淚ぐまるる,島木赤彦,馬鈴薯の花,1910,アララギ
遠く行く幼弟に　四首,島木赤彦,馬鈴薯の花,1910,アララギ
貧しき家に生れて遠き國に行くべきものと思ひ行くかも,島木赤彦,馬鈴薯の花,1910,アララギ
ちちははは老いていますと思ひつつ行きゆくままに遠く行くらん,島木赤彦,馬鈴薯の花,1910,アララギ
五月雨の靑葉の家に安らかにしづかに汝れをおく時過ぎぬ,島木赤彦,馬鈴薯の花,1910,アララギ
生れたる家にいくらも住みあへず藥をもりて奧蝦夷の家に,島木赤彦,馬鈴薯の花,1910,アララギ
眞菰草風通しよき池の家の晴れのいち日よしきり鳴くも,島木赤彦,馬鈴薯の花,1910,アララギ
物おもひ晝寢に入れる夢の人の家をしづかによしきり鳴くも,島木赤彦,馬鈴薯の花,1910,アララギ
しが肌かせのさはりの遠ざかりうつらうつらに夢に入るらむ,島木赤彦,馬鈴薯の花,1910,アララギ
めざましき若葉の色の日のいろの搖れを靜かにたのしみにけり,島木赤彦,馬鈴薯の花,1910,アララギ
眞菰風吹きふく風に今日ひと日しづかにあり得しことを思ひぬ,島木赤彦,馬鈴薯の花,1910,アララギ
おぼつかなき雨のあがりに夕方の麥の黃ばみはうすほのめけり,島木赤彦,馬鈴薯の花,1910,アララギ
おぼほしき曇りの中に遠き麥の黃をくきやかに洩る夕日あり,島木赤彦,馬鈴薯の花,1910,アララギ
高原の村に來てすみ家の人とすこししたしみ茶をのみにけり,島木赤彦,馬鈴薯の花,1910,アララギ
若葉するこの村に來てあはれなる話を二つきかされにけり,島木赤彦,馬鈴薯の花,1910,アララギ
,島木赤彦,馬鈴薯の花,1910,アララギ
ほろび行く湖ベの村に一夜寢てとぼとぼ行きぬ山のそこひを,島木赤彦,馬鈴薯の花,1910,アララギ
靜かに一人遊ばんと來りつる山のみづうみ暮れ入りにけり,島木赤彦,馬鈴薯の花,1910,アララギ
かく澄める山のみづに來てたまさかにひと日を遊びかへり行くかな,島木赤彦,馬鈴薯の花,1910,アララギ
湖づたひ若木しみみの葉をひたしふりふる雨のやむ日を知らず,島木赤彦,馬鈴薯の花,1910,アララギ
燒石原雨にさび立つみどり木の木ぶかく寒く我をおくかな,島木赤彦,馬鈴薯の花,1910,アララギ
降りにふる日ねもすの雨に山の裾ひろら靑野も今萎るべし,島木赤彦,馬鈴薯の花,1910,アララギ
女坂峠より,島木赤彦,馬鈴薯の花,1910,アララギ
古繪圖の埃はらひて靜かなる湖を驛を其所に見るごと,島木赤彦,馬鈴薯の花,1910,アララギ
裾野の家　六首,島木赤彦,馬鈴薯の花,1910,アララギ
ゐろり火の次の室くらく宵ふけて物さびしらにいや火を焚きぬ,島木赤彦,馬鈴薯の花,1910,アララギ
夜をおそく茶をのみをへて何となく足らはぬ思ひ火を焚きたきぬ,島木赤彦,馬鈴薯の花,1910,アララギ
しづかなる事ども思ひ火を焚きて起きてあることたぬしかるかも,島木赤彦,馬鈴薯の花,1910,アララギ
更けの火のうつらうつらに遠人を思ふともなしぬくとくなりて,島木赤彦,馬鈴薯の花,1910,アララギ
あが心は靜かなるかもゐろり火の搖れのうすれの壁に搖る影,島木赤彦,馬鈴薯の花,1910,アララギ
ゐろり火のもえのさかりをもだしつつ何はも我は思ひ居るらむ,島木赤彦,馬鈴薯の花,1910,アララギ
草の中の赤錆び水におきてある夕日の舟は死にてあるかも,島木赤彦,馬鈴薯の花,1910,アララギ
さやさやし蕎麥の花畑風のむた動くを見れば我もゆるるがに,島木赤彦,馬鈴薯の花,1910,アララギ
,島木赤彦,馬鈴薯の花,1910,アララギ
ニニニ,島木赤彦,馬鈴薯の花,1910,アララギ
,島木赤彦,馬鈴薯の花,1910,アララギ
明治四十五年（大正元年,島木赤彦,馬鈴薯の花,1910,アララギ
,島木赤彦,馬鈴薯の花,1910,アララギ
ニー四,島木赤彦,馬鈴薯の花,1910,アララギ
山の驛　八首,島木赤彦,馬鈴薯の花,1910,アララギ
たまたまに汽車とどまれば冬さびの山の驛に人の音すも,島木赤彦,馬鈴薯の花,1910,アララギ
この朝の汽車はすぎけれ家並の日あたりおそく靜かなるかも,島木赤彦,馬鈴薯の花,1910,アララギ
山の驛霧のしづくのそぼそぼにをみなのともら濡れて來にけり,島木赤彦,馬鈴薯の花,1910,アララギ
物を煮る店のゐろりに曉がたの面わやさしくさ霧流らふ,島木赤彦,馬鈴薯の花,1910,アララギ
肉を賣る家のうしろに野の木立夕燒さむく枝をひろげぬ,島木赤彦,馬鈴薯の花,1910,アララギ
うすれゆく夕日の驛に客を呼ぶをんなの聲はうれし聲かも,島木赤彦,馬鈴薯の花,1910,アララギ
霜晴れの夜空のうまや路いづべにかだみ聲おそく唄ひのこれり,島木赤彦,馬鈴薯の花,1910,アララギ
栗燒きし火鉢の色も火の色もつめたく遠くすぎ去りにけり,島木赤彦,馬鈴薯の花,1910,アララギ
朝照る日のうすら霜ひえびえと蓼の丹莖にとけて沁むかな,島木赤彦,馬鈴薯の花,1910,アララギ
馬ぐそに深くかぶさる朝の霜この澤の道に我れ動くかな,島木赤彦,馬鈴薯の花,1910,アララギ
あさの霜とけて流らふ庭石の日の冷めたさを踏みて入りつる,島木赤彦,馬鈴薯の花,1910,アララギ
枯菰に水は動かず底淺の泥明かあかと日あたりにけり,島木赤彦,馬鈴薯の花,1910,アララギ
あるものは,島木赤彦,馬鈴薯の花,1910,アララギ
,島木赤彦,馬鈴薯の花,1910,アララギ
あるものは萩刈日和木瓜の果を二人つみつつ相戀ひにけり,島木赤彦,馬鈴薯の花,1910,アララギ
あるものは髮をなほすと嫁ぎゆきて春の蠶上げぬ別れ來にけり,島木赤彦,馬鈴薯の花,1910,アララギ
あるものは草刈小屋の草月夜ねぶりて妻をぬすまれにけり,島木赤彦,馬鈴薯の花,1910,アララギ
あるものは金ある家にとつぎ得て蠶がひ窶れぬ病みてかへらず,島木赤彦,馬鈴薯の花,1910,アララギ
女をあはれむ　三首,島木赤彦,馬鈴薯の花,1910,アララギ
うら若ききょら心に鞭あっることはたやすしあはれなるかな,島木赤彦,馬鈴薯の花,1910,アララギ
天地の千とせの後にささやけきうつくし心を誰か知るらん,島木赤彦,馬鈴薯の花,1910,アララギ
たまたまに物かげに行きて淚ふくうら若かひなむごきことすも,島木赤彦,馬鈴薯の花,1910,アララギ
霜らしく白けし草にちやうちんの光搖れゆれ野をのぼるかな,島木赤彦,馬鈴薯の花,1910,アララギ
日の沒りの名殘りの明りうすうすとわがかへる野の家見ゆるかな,島木赤彦,馬鈴薯の花,1910,アララギ
野の家に火をあかあかと一人して心安らにねむり得るかな,島木赤彦,馬鈴薯の花,1910,アララギ
玉川村,島木赤彦,馬鈴薯の花,1910,アララギ
家をそとに三年馴れつつ宵さむき火桶のうへに手をよせにけり,島木赤彦,馬鈴薯の花,1910,アララギ
火に倚りてまなこつぶりぬ遠々に野に來て住みし身を思ひつつ,島木赤彦,馬鈴薯の花,1910,アララギ
いち日のをはりしづかに見えきたる幼なおもわをうすら火のへに,島木赤彦,馬鈴薯の花,1910,アララギ
,島木赤彦,馬鈴薯の花,1910,アララギ
死火山の裾野の冬のなほ長き日數思ひつつ灯をともすかも,島木赤彦,馬鈴薯の花,1910,アララギ
,島木赤彦,馬鈴薯の花,1910,アララギ
西窓のうすら明りに藁をうつ隣のおとのはや聞え居り,島木赤彦,馬鈴薯の花,1910,アララギ
枯芝の土手の日あたり折々に土のかわきのこぼるるけはひ,島木赤彦,馬鈴薯の花,1910,アララギ
曉の溫泉の霧低く沈みつつ氷の湖に流れ行くかな,島木赤彦,馬鈴薯の花,1910,アララギ
人動きつっ,島木赤彦,馬鈴薯の花,1910,アララギ
橇唄もなき土地なれや氷の湖靄さむざむに影動きつつ,島木赤彦,馬鈴薯の花,1910,アララギ
おぼほしく眉に來觸るる霧しづく食をもとめて朝を行くかな,島木赤彦,馬鈴薯の花,1910,アララギ
岸の家日の沒りはやくともす灯の氷の湖にうすくいくつも,島木赤彦,馬鈴薯の花,1910,アララギ
冬枯原吹きあるる風の西窓に日ねもす鳴りぬ日を明かあかと,島木赤彦,馬鈴薯の花,1910,アララギ
丘より町に歸る途上,島木赤彦,馬鈴薯の花,1910,アララギ
八,島木赤彦,馬鈴薯の花,1910,アララギ
灰いろの草がれ道を毛物にてあるが如くに思ひて動く,島木赤彦,馬鈴薯の花,1910,アララギ
板の上に煙草のほくその吹かるるに似たりおのれは野をいそぐなり,島木赤彦,馬鈴薯の花,1910,アララギ
