本文,作者,歌集,年代,雑誌（結社）
穩田にいへゐる繪かき繪をかくと七面鳥を見らく飽かなく,斎藤茂吉,あらたま,1914,アララギ
穩田の繪かきの庭に步み居る七面鳥をわれも見て居り,斎藤茂吉,あらたま,1914,アララギ
ひさしより短か垂氷のーならび白きひかりが滴つてゐる,斎藤茂吉,あらたま,1914,アララギ
ゆづり葉の木かげ斜にをんどりの七面鳥は急ぎあゆめり,斎藤茂吉,あらたま,1914,アララギ
垂氷より光のかたまり落ちて來る七面鳥は未だつるまず,斎藤茂吉,あらたま,1914,アララギ
うちひびき七面鳥のをんどりの羽ばたき一つ大きかりけり,斎藤茂吉,あらたま,1914,アララギ
十方に眞ぴるまなれ七面の鳥はじけむばかり膨れけるかも,斎藤茂吉,あらたま,1914,アララギ
七面鳥ひとつひたぶるに膨れつつ我のまともに居たるたまゆら,斎藤茂吉,あらたま,1914,アララギ
まかがよふ光のなかに首あげ七面鳥は身ぶるひをせり,斎藤茂吉,あらたま,1914,アララギ
ひばの木の下枝にのぼるをんどりの七面鳥のかうべ紅しも,斎藤茂吉,あらたま,1914,アララギ
七面鳥ふたつい竝びふくれたち息凝らす我に近づきにけり,斎藤茂吉,あらたま,1914,アララギ
あかねさす日もすがら見れど雌鳥の七面鳥はしづけきものを,斎藤茂吉,あらたま,1914,アララギ
七面鳥かうべをのべてけたたまし一つの息の聲吐きにけり,斎藤茂吉,あらたま,1914,アララギ
七面鳥の腹へりしかばたわやめは靑菜をもちてこまごまと切る,斎藤茂吉,あらたま,1914,アララギ
七面鳥ねむりに行きて殘り立つゆづり葉の莖の紅きがかなし,斎藤茂吉,あらたま,1914,アララギ
ゆづり葉のもとにひとむらの雪きえのこり七面鳥は寢にゆきにけり,斎藤茂吉,あらたま,1914,アララギ
,斎藤茂吉,あらたま,1914,アララギ
一心敬禮,斎藤茂吉,あらたま,1914,アララギ
海岸の松の木原に著きしかば今日のひと日も暮れにけるかも,斎藤茂吉,あらたま,1914,アララギ
潮騷をききてしづかに眠らむと思ひやまねばつひに來にけり,斎藤茂吉,あらたま,1914,アララギ
松風が吹きゐたりけり松はらの小道をのぼり童女と行けば,斎藤茂吉,あらたま,1914,アララギ
ほのぼのと諸國修行に行くこころ遠松かせも聞くべかりけり,斎藤茂吉,あらたま,1914,アララギ
父母所生の眼ひらきてーいろの暗きを見たり遠き松かせ,斎藤茂吉,あらたま,1914,アララギ
ともしびの心をほそめて松はらのしづかなる家にまなこつむりぬ,斎藤茂吉,あらたま,1914,アララギ
目をとぢて二人さびしくかうかうと行く松風の音をこそ聞け,斎藤茂吉,あらたま,1914,アララギ
松ばらにふたり目ざめて鳥がなく東土の海のあけぼのを見つ,斎藤茂吉,あらたま,1914,アララギ
ゆらゆらと朝日子あかくひむがしの海に生れてゐたりけるかも,斎藤茂吉,あらたま,1914,アララギ
東海の渚に立てば朝日子はわがをとめごの額を照らす,斎藤茂吉,あらたま,1914,アララギ
目をひらきてありがたきかなやくれなゐの大日われに近づきのぼる,斎藤茂吉,あらたま,1914,アララギ
,斎藤茂吉,あらたま,1914,アララギ
雜歌,斎藤茂吉,あらたま,1914,アララギ
むかう空にながれて落つる星のあり悲しめる身の命のこぼれ,斎藤茂吉,あらたま,1914,アララギ
赤電車場ずゑをさして走りたりわれの向ひの人はねむりぬ,斎藤茂吉,あらたま,1914,アララギ
