本文,作者,歌集,年代,雑誌（結社）
春の夜の雨はふりつつ聞こえくる家の小馬の前搔のおと,斎藤茂吉,あらたま,1915,アララギ
しづかなる夜とおもふに現なる馬もかくゐて嚏るきこゆ,斎藤茂吉,あらたま,1915,アララギ
春雨の音のしながら幽かにてさ夜ふけと夜はふけにたるらし,斎藤茂吉,あらたま,1915,アララギ
春雨はくだちひそまる夜空より音かすかにて降りにけるかも,斎藤茂吉,あらたま,1915,アララギ
外面には春雨あはれに音しつつさ夜更れどもわれは寢なくに,斎藤茂吉,あらたま,1915,アララギ
かりそめの病といへど心ほそりさ夜ふけて馬のおとをこそきけ,斎藤茂吉,あらたま,1915,アララギ
日を經つつ心落ちゐぬ我ながら今夜しづかにすわりて居らな,斎藤茂吉,あらたま,1915,アララギ
この夜半に目ざめたる者のひとり居てむかうの室に咳けるかも,斎藤茂吉,あらたま,1915,アララギ
かかる夜半に獨言いふこゑきこゆ寢るに堪へざらむ狂者ひとりふたり,斎藤茂吉,あらたま,1915,アララギ
しづかなる夜半に心の澄み遊ぶいよよ痛きを人知るらむか,斎藤茂吉,あらたま,1915,アララギ
外面にはほそ春雨のふりやまずさ夜ふけてわれは目ざめゐにけり　四月作,斎藤茂吉,あらたま,1915,アララギ
,斎藤茂吉,あらたま,1915,アララギ
折にふれ,斎藤茂吉,あらたま,1915,アララギ
目のまへの電燈の球を見つめたり球ふるひつつ地震ゆりかへる,斎藤茂吉,あらたま,1915,アララギ
狂人のにほひたたよふ長廊下まなこみひらき我はあゆめる,斎藤茂吉,あらたま,1915,アララギ
夜の床に笑ひころげてゐる女わがとほれどもかかはりもなし,斎藤茂吉,あらたま,1915,アララギ
馬子ねむり馬は佇む六月の上富坂をつかれてくだる,斎藤茂吉,あらたま,1915,アララギ
たらたらと額より垂る汗ふきて大きいのちもつひに思はず　五月六月作,斎藤茂吉,あらたま,1915,アララギ
,斎藤茂吉,あらたま,1915,アララギ
雉子,斎藤茂吉,あらたま,1915,アララギ
おたまじやくしこんこんとして聚合れる曉森の水のべに立つ,斎藤茂吉,あらたま,1915,アララギ
宿直してさびしく醍めし目のもとに黑きかへるご寄りてうごかず,斎藤茂吉,あらたま,1915,アララギ
朝みづにかたまりひそむかへるごを搔きみたせども慰みかたし,斎藤茂吉,あらたま,1915,アララギ
こらへゐし我のまなこに淚たまる一つの息の朝雉のこゑ,斎藤茂吉,あらたま,1915,アララギ
朝森にかなしく徹る雉子のこゑ女の連をわれおもはざらむ,斎藤茂吉,あらたま,1915,アララギ
尊とかりけりこのよの曉に雉子ひといきに悔しみ啼けり,斎藤茂吉,あらたま,1915,アララギ
大戸よりいろ一樣の著物きてものぐるひの群外光にいづ,斎藤茂吉,あらたま,1915,アララギ
ひさびさにおのづからなる我がこころ呆けし女にものいひにけり　六月作,斎藤茂吉,あらたま,1915,アララギ
,斎藤茂吉,あらたま,1915,アララギ
寂しき夏,斎藤茂吉,あらたま,1915,アララギ
眞夏日のひかり澄み果てし淺茅原にそよぎの音のきこえけるかも,斎藤茂吉,あらたま,1915,アララギ
まかがよふ淺茅が原のふかき晝むかうの土に豚はねむりぬ,斎藤茂吉,あらたま,1915,アララギ
みじろがぬわれの體中は息づけり淺茅の原の眞晝まの照り,斎藤茂吉,あらたま,1915,アララギ
停電の街を步きて久しかり汗ふきをれば街の音さびし,斎藤茂吉,あらたま,1915,アララギ
墓地かげに機關銃のおとけたたましすなはち我は汁のみにけり　七月作,斎藤茂吉,あらたま,1915,アララギ
,斎藤茂吉,あらたま,1915,アララギ
漆の木,斎藤茂吉,あらたま,1915,アララギ
たらたらと漆の木より漆垂りものいふは憂き夏さりにけり,斎藤茂吉,あらたま,1915,アララギ
ぎばうしゆに愛しき小花むれ咲きて白日光に照され居たり,斎藤茂吉,あらたま,1915,アララギ
いそがしく夜の廻診ををはり來て狂人もりは蚊帳を吊るなり,斎藤茂吉,あらたま,1915,アララギ
のびのびと蚊帳なかに居てわが體すこし瘦せぬと獨語いへり,斎藤茂吉,あらたま,1915,アララギ
履のおと宿直室のまへ過ぎてとほくかすかになるを聞きつつ,斎藤茂吉,あらたま,1915,アララギ
ものぐるひの屍解剖の最中にて溜りかねたる汗おつるなり,斎藤茂吉,あらたま,1915,アララギ
うち默し狂者を解體する窓の外の面にひとりふたり麥刈る音す,斎藤茂吉,あらたま,1915,アララギ
狂人に親しみてより幾年か人見んは憂き夏さりにけり,斎藤茂吉,あらたま,1915,アララギ
しんとして直立厚葉ひかりたるあまりりすの鉢に油蟲のぼる,斎藤茂吉,あらたま,1915,アララギ
ぬけいでし太靑莖の莖の秀にふくれきりたる花あまりりす,斎藤茂吉,あらたま,1915,アララギ
あまりりす鉢の土より直立ちて厚葉かぐろくこの朝ひかる　七月作,斎藤茂吉,あらたま,1915,アララギ
,斎藤茂吉,あらたま,1915,アララギ
渚の火,斎藤茂吉,あらたま,1915,アララギ
まかがよふ眞夏なぎさに寄る波の遠白波の走るたまゆら,斎藤茂吉,あらたま,1915,アララギ
眞夏日の海のなぎさに燃えのぼる炎のひびき海人はかこめり,斎藤茂吉,あらたま,1915,アララギ
六人の漁師が圍みあたりをる眞晝渚の火立のなびき,斎藤茂吉,あらたま,1915,アララギ
くれなゐにひらめく火立を眞晝間の渚の砂に見らくし悲し,斎藤茂吉,あらたま,1915,アララギ
まかがよふ晝のなぎさに燃ゆる火の澄み透るまのいろの寂しさ,斎藤茂吉,あらたま,1915,アララギ
すき透り低く燃えたる濱の火にはだか童子は潮にぬれて來,斎藤茂吉,あらたま,1915,アララギ
旅を來て大津の濱に畫もゆる火炎のなびき見すぐしかねつ,斎藤茂吉,あらたま,1915,アララギ
いばらきの大津みなとの渚べをい行きもとほり一日わらはず　八月作,斎藤茂吉,あらたま,1915,アララギ
,斎藤茂吉,あらたま,1915,アララギ
海濱雜歌,斎藤茂吉,あらたま,1915,アララギ
腹あかき舟のならべる濱の照り妻もろともに疲れけるかも,斎藤茂吉,あらたま,1915,アララギ
みちのくの勿來へ入らむ山がひに梅干ふふむあれとあがつま,斎藤茂吉,あらたま,1915,アララギ
日燒畑いくつも越えて莖太のこんにやく畑にわれ入りにけり,斎藤茂吉,あらたま,1915,アララギ
うらわかき妻はかなしく砂畑の砂はあつしと言ひにけるかも,斎藤茂吉,あらたま,1915,アララギ
みちのくへあが嬬をやりて足引の山の赤土道あれ一人ゆく,斎藤茂吉,あらたま,1915,アララギ
みちのくに近き驛路日はくれて一夜ねむるとねむりぐすり飮む,斎藤茂吉,あらたま,1915,アララギ
平潟へちかづく道に汗は落つ捨身あんぎやの我ならなくに,斎藤茂吉,あらたま,1915,アララギ
いりうみの汐おちかかる曉方の舟の搖れこそあはれなりけれ,斎藤茂吉,あらたま,1915,アララギ
くもり日のくぼき砂畑に腰を延す女見にけり海のなかより,斎藤茂吉,あらたま,1915,アララギ
外海にそへる並木路ひたはしる郵便脚夫の體ちひさし,斎藤茂吉,あらたま,1915,アララギ
眉なかき漁師のこゑのふとぶとと泊てたる舟にものいひにけり,斎藤茂吉,あらたま,1915,アララギ
松並木の松ふとりつつ傾けり鉛のごとくうみ曇る見ゆ,斎藤茂吉,あらたま,1915,アララギ
いばらきの濱街道に眠りゐる洋傘うりを寂しくおもふ,斎藤茂吉,あらたま,1915,アララギ
隧道のなかに牛立つ日のくもりわれ疲れつつ來りけるかも　八月作,斎藤茂吉,あらたま,1915,アララギ
,斎藤茂吉,あらたま,1915,アララギ
雨後,斎藤茂吉,あらたま,1915,アララギ
あさまだき道玄坂をくだり來て橋をわたれりさかまけるみづ,斎藤茂吉,あらたま,1915,アララギ
朝川はにごりてながる榧の枝は濡れて垂れり水にとどかず,斎藤茂吉,あらたま,1915,アララギ
漩谷川うづまき流るたもとほりうづまく水を見れど飽かぬかも,斎藤茂吉,あらたま,1915,アララギ
家むかうの欅のうへにほびこりし雲は光りて雨ふらむとす,斎藤茂吉,あらたま,1915,アララギ
さ庭べに竝びて高き向日葵の花雷とどろきてふるひけるかも,斎藤茂吉,あらたま,1915,アララギ
雨はれて心すがしくなりにけり窓より見ゆる白木槿のはな,斎藤茂吉,あらたま,1915,アララギ
雨はれしのちの疊のうすじめり今とどまりし汽車立つきこゆ,斎藤茂吉,あらたま,1915,アララギ
雨はれしさ庭は暗し幽かにてこほろぎ鳴けば人もかなしき　七月作,斎藤茂吉,あらたま,1915,アララギ
,斎藤茂吉,あらたま,1915,アララギ
折々の歌,斎藤茂吉,あらたま,1915,アララギ
龜戸の普門院にて三年經し伊藤左千夫のおくつきどころ,斎藤茂吉,あらたま,1915,アララギ
先師三周忌三音,斎藤茂吉,あらたま,1915,アララギ
墓に來て水をかけたり近眼の大き面わの面影に立つ,斎藤茂吉,あらたま,1915,アララギ
水ぐさの圓葉の照りをあはれめり七月ひるのおくつきどころ,斎藤茂吉,あらたま,1915,アララギ
冬服をはじめて著たる日は寒く雨しとしとと降りつづきけり　石原純を迎ふ三首,斎藤茂吉,あらたま,1915,アララギ
とほく來し友をうれしみ秋さむき銀座の店に葡萄もちて食む,斎藤茂吉,あらたま,1915,アララギ
五番町に電車を降りて雨しぶく砂利路ゆけど寂しくもなし,斎藤茂吉,あらたま,1915,アララギ
みちのくのわぎへの里にうからやから新米たきて尊みて食む　舉祝歌二首,斎藤茂吉,あらたま,1915,アララギ
いやしかるみ民の我も髯そりてけふの生日をあふがざらめや　八月—十一日作,斎藤茂吉,あらたま,1915,アララギ
,斎藤茂吉,あらたま,1915,アララギ
冬の山「祖母」其のー,斎藤茂吉,あらたま,1915,アララギ
おのづからあらはれ迫る冬山にしぐれの雨の降りにけるかも,斎藤茂吉,あらたま,1915,アララギ
ものの行とどまらめやも山峽の杉のたいぼくの寒さのひびき,斎藤茂吉,あらたま,1915,アララギ
まなかひにあかはだかなる冬の山しぐれに濡れてちかづく吾を,斎藤茂吉,あらたま,1915,アララギ
いのちをはりて眼をとぢし祖母の足にかすかなる皹のさびしさ,斎藤茂吉,あらたま,1915,アララギ
命たえし祖母のかうべ剃りたまふ父を圍みしうからの目のなみだ,斎藤茂吉,あらたま,1915,アララギ
蠟の火のひかりに赤しおほははの棺のうへの太刀鞘のいろ,斎藤茂吉,あらたま,1915,アララギ
朝あけて父のかたはらに食す飯ゆ立つ白氣も寂しみて食す,斎藤茂吉,あらたま,1915,アララギ
さむざむと曉に起き麥飯をおしいただきて食ひにけり,斎藤茂吉,あらたま,1915,アララギ
ゐろりべにうれへとどまらぬ我がまなこ煙はかかるその渦けむり,斎藤茂吉,あらたま,1915,アララギ
あつぶすま堅きをかつぎねむる夜のしばしば覺めて悲し霜夜は,斎藤茂吉,あらたま,1915,アララギ
日の入のあわただしもよ洋燈つりて心がなしく納豆を食む,斎藤茂吉,あらたま,1915,アララギ
土のうへに霜いたく降り露なる玉菜はじけて人音もなし,斎藤茂吉,あらたま,1915,アララギ
おほははのつひの葬り火田の畔に蛼も鳴かぬ霜夜はふり火,斎藤茂吉,あらたま,1915,アララギ
終列車のぼりをはりて葬り火をまもる現身のしはぶきのおと,斎藤茂吉,あらたま,1915,アララギ
愁へつつ祖母はふる火の渦のしづまり行きて曉ちかからむ,斎藤茂吉,あらたま,1915,アララギ
ふゆの日の今日も暮れたりゐろりべに胡桃をつぶす獨語いひて,斎藤茂吉,あらたま,1915,アララギ
冬の日のかたむき早く櫟原こがらしのなかを鴉くだれり,斎藤茂吉,あらたま,1915,アララギ
ここに來て心いたいたしまなかひに迫れる山に雪つもる見ゆ,斎藤茂吉,あらたま,1915,アララギ
いただきは雪かもみだる眞日くれてはざまの村に人はねむりぬ,斎藤茂吉,あらたま,1915,アララギ
山がはのたぎちの響みとどまらぬわぎへの里に父老いにけり　十一月作,斎藤茂吉,あらたま,1915,アララギ
,斎藤茂吉,あらたま,1915,アララギ
こがらし「祖母」其の二,斎藤茂吉,あらたま,1915,アララギ
あしびきの山こがらしの行く寒さ鴉のこゑはいよよ遠しも,斎藤茂吉,あらたま,1915,アララギ
髙原にくたびれ居れば山脈は雪にひかりつつあらはれ見え來,斎藤茂吉,あらたま,1915,アララギ
はざまなる杉の大樹の下闇にゆふこがらしは葉おとしやまず,斎藤茂吉,あらたま,1915,アララギ
時雨ふる冬山かげの湯のけむり香に立ち來りねむりがたしも,斎藤茂吉,あらたま,1915,アララギ
あしびきの山のはざまに幽かなる馬うづまりて霧たちのほる,斎藤茂吉,あらたま,1915,アララギ
棺のまへに蠟の火をつぐ夜さむく一番どりは嗚きそめにけり,斎藤茂吉,あらたま,1915,アララギ
山形の市にひとむれてさやげどもまじはらむ心われもたなくに,斎藤茂吉,あらたま,1915,アララギ
むらぎもの心もしまし落ゐたり落葉のうへをを黑猫はしる,斎藤茂吉,あらたま,1915,アララギ
冬の山に近づく午後の日のひかり干栗の上に蠅ならびけり,斎藤茂吉,あらたま,1915,アララギ
ぢりぢりとゐろりに燃ゆる楢の樹の太根はつひにけむり擧げつも,斎藤茂吉,あらたま,1915,アララギ
おほははのつひの命にあはずして霜深き國に二夜ねむりぬ,斎藤茂吉,あらたま,1915,アララギ
せまりくる寒さに堪へて冬山の山ひだにいま陽の照るを見つ,斎藤茂吉,あらたま,1915,アララギ
きのこ汁くひつつおもふ祖母の乳房にすがりて我はねむりけむ,斎藤茂吉,あらたま,1915,アララギ
稚くてありし日のごと吊柿に陽はあはあはと差しゐれるかも,斎藤茂吉,あらたま,1915,アララギ
あら土の霜の解けゆくはあはれなり稚きときも我は見にしが,斎藤茂吉,あらたま,1915,アララギ
ふるさとに歸りてくれば庭隈の鋸屑の上にも霜ふりにけり,斎藤茂吉,あらたま,1915,アララギ
夕されば稲かり終へし田のおもに物の音こそなかりけるかも　十一月作,斎藤茂吉,あらたま,1915,アララギ
,斎藤茂吉,あらたま,1915,アララギ
道の霜「祖母」其の三,斎藤茂吉,あらたま,1915,アララギ
山峽にありのままなる道の霜きえゆくらむかこのしづけさに,斎藤茂吉,あらたま,1915,アララギ
つくづくとあかつきに踏む道の霜きぞのよるふかく降りにけるかな,斎藤茂吉,あらたま,1915,アララギ
山こえて山がひにゆく道の霜おのづからなる凝りの寒けさ,斎藤茂吉,あらたま,1915,アララギ
山がひのあかつきの道いそがねど霜照る坂をわれ越えにけり,斎藤茂吉,あらたま,1915,アララギ
たか原に澄みとほりたる湖をはるかに見つつ峽間に入らむ,斎藤茂吉,あらたま,1915,アララギ
あしびきの山よりいでてとどろける湯ずゑのけむりなづみて上らず,斎藤茂吉,あらたま,1915,アララギ
炭竈をのぞきて我はあかあかと照り透りたる炭木を見たり,斎藤茂吉,あらたま,1915,アララギ
炭がまに炎のぼらず見ゆるものけむりの渦のひまに見ゆるを,斎藤茂吉,あらたま,1915,アララギ
おほははのみ靈のまへに香つぎて稚兒なりし我をおもへり,斎藤茂吉,あらたま,1915,アララギ
この身はもかへらざらめやおほははを火炎に葬り七夜を經たり,斎藤茂吉,あらたま,1915,アララギ
みやこべにおきて來りし受持の狂者おもへば心いそぐも　十二月作,斎藤茂吉,あらたま,1915,アララギ
,斎藤茂吉,あらたま,,アララギ
大正五年,斎藤茂吉,あらたま,1916,アララギ
夜の雪,斎藤茂吉,あらたま,1916,アララギ
街かげの原にこほれる夜の雪ふみゆく我の咳ひびきけり,斎藤茂吉,あらたま,1916,アララギ
夜ふけてこの原とほること多しこよひは雪もこほりけるかも,斎藤茂吉,あらたま,1916,アララギ
原のうへに降りて冴えたる雪を吹く夜かせの寒さ居るものもなし,斎藤茂吉,あらたま,1916,アララギ
さ夜なかと夜はふけにけり冴えこほる雪吹く風のおとの寂しさ,斎藤茂吉,あらたま,1916,アララギ
こほりたる泥のうへ行くわがあゆみ風邪のなごりの身にしひびけり,斎藤茂吉,あらたま,1916,アララギ
夜の最中すでに過ぎたりけたたまし軍雞の濁ごゑをひとり聞き居り,斎藤茂吉,あらたま,1916,アララギ
さむぎむと寢むとおもへど一しきり夜のくだかけの長啼くを聽く,斎藤茂吉,あらたま,1916,アララギ
夜ふかし寢つかれなくに來しかたのかなしき心よみがへり來も,斎藤茂吉,あらたま,1916,アララギ
,斎藤茂吉,あらたま,1916,アララギ
雜歌,斎藤茂吉,あらたま,1916,アララギ
三宅坂をわれはくだれり嘶かぬ裸馬もひとつ寂しくくだる,斎藤茂吉,あらたま,1916,アララギ
藥罐よりたぎる湯をつぎいくたびも我は飮み居り咽かわくゆゑに,斎藤茂吉,あらたま,1916,アララギ
ひよろ高き外人ひとり時のまに我を追ひ越す口笛ふきつつ,斎藤茂吉,あらたま,1916,アララギ
あわただしく夜の廻診ををはり來て獨り嚏るも寂しくおもふ,斎藤茂吉,あらたま,1916,アララギ
冬の日は照り天傳ふひたぶるに坂のぼる黑馬の汗のちるかも,斎藤茂吉,あらたま,1916,アララギ
まれまれに衢もとほる目にし染むいかなればかもひとのかなしき,斎藤茂吉,あらたま,1916,アララギ
きさらぎの三月にむかふ空きよし銀座つむじに塵たちのぼる,斎藤茂吉,あらたま,1916,アララギ
よるおそく家にかへりてひれ寒し何か食ひたくおもひてねむる,斎藤茂吉,あらたま,1916,アララギ
,斎藤茂吉,あらたま,1916,アララギ
長塚節一周忌,斎藤茂吉,あらたま,1916,アララギ
うつうつと眠りにしづみ醒めしときかい細る身の辛痛かりけむ,斎藤茂吉,あらたま,1916,アララギ
しらぬひの筑紫のはまの夜さむく命かなしとしはぶきにけむ,斎藤茂吉,あらたま,1916,アララギ
あつまりて酒は飮むとも悲しかる生のながれを思はざらむや,斎藤茂吉,あらたま,1916,アララギ
つくづくと憂にこもる人あらむこのきさらぎの白梅のはな,斎藤茂吉,あらたま,1916,アララギ
君が息たえて筑紫に燒かれしと聞きけむ去年のこよひおもほゆ,斎藤茂吉,あらたま,1916,アララギ
,斎藤茂吉,あらたま,1916,アララギ
春泥,斎藤茂吉,あらたま,1916,アララギ
きさらぎのちまたの泥におもおもと石灰ぐるま行くさへさびし,斎藤茂吉,あらたま,1916,アララギ
步兵隊泥ふみすすむ整步のつらなめて踏む足なみの音,斎藤茂吉,あらたま,1916,アララギ
きさらぎの雪消の泥のただよへる街の十字に人つどひけり,斎藤茂吉,あらたま,1916,アララギ
あからひく晝の光のさしながら衢の泥に見ゆる足あと,斎藤茂吉,あらたま,1916,アララギ
馬ひとつ走りひびきて來るまの墓石店まへに泥はねかへる,斎藤茂吉,あらたま,1916,アララギ
市路には泥をあつむる人をりて腰を延したりわれはなげくも,斎藤茂吉,あらたま,1916,アララギ
泥たたよふ十字に電車とまれどもしきりて去るに感ずるさびしさ,斎藤茂吉,あらたま,1916,アララギ
きさらぎのちまたの泥に佇立める馬の兩眼はまたたきにけり,斎藤茂吉,あらたま,1916,アララギ
,斎藤茂吉,あらたま,1916,アララギ
寂土,斎藤茂吉,あらたま,1916,アララギ
小野の土にかぎろひ立てり眞日あかく天づれふこそ寂しかりけれ,斎藤茂吉,あらたま,1916,アララギ
うつしみは悲しきものか一つ樹をひたに寂しく思ひけるかも,斎藤茂吉,あらたま,1916,アララギ
人ごみのなかに入りつつ暫しくは眼を閉ぢむこのしづかさや,斎藤茂吉,あらたま,1916,アララギ
寂しかる命にむかふ土の香の生は無しとぞ我は思はなくに,斎藤茂吉,あらたま,1916,アララギ
あなあはれ寂しき人ゐ淺草のくらき小路にマッチ擦りたり,斎藤茂吉,あらたま,1916,アララギ
現身は現身ゆゑにこころの痛からむ朝けより降れるこの春雨や,斎藤茂吉,あらたま,1916,アララギ
途中にて電車をくだるひしひしと遣らふ方なき懺悔をもちて,斎藤茂吉,あらたま,1916,アララギ
うつつなるほろびの迅さひとたびは目ざめし鶏もねむりたるらむ,斎藤茂吉,あらたま,1916,アララギ
,斎藤茂吉,あらたま,1916,アララギ
折々の歌,斎藤茂吉,あらたま,1916,アララギ
むらむらと練兵場を吹きあけし冬朝風のなこりを見居り,斎藤茂吉,あらたま,1916,アララギ
きぞの夜にこほりしままの流泥わか晝ゆゑに解けがてぬかも,斎藤茂吉,あらたま,1916,アララギ
電車のぼる坂のまがりにつくづくと立坊ならぶ日輪に向きて,斎藤茂吉,あらたま,1916,アララギ
うつしみの家居を燒くととどろきて走る炎に家は燒けけり,斎藤茂吉,あらたま,1916,アララギ
胸さやぎ今朝とどまらず水もちて阿片丸を呑みこみにけり,斎藤茂吉,あらたま,1916,アララギ
ふゆさむき瘋癲院の湯あみどに病者ならびて洗はれにけり,斎藤茂吉,あらたま,1916,アララギ
霜いたく降れる朝けの庭こえてなにか怒れる狂人のこゑ,斎藤茂吉,あらたま,1916,アララギ
けふもまた病室に來てうらわかき狂ひをみなにものをこそ言へ,斎藤茂吉,あらたま,1916,アララギ
曉にはや近からし目の下につくづくと狂者のいのち終る,斎藤茂吉,あらたま,1916,アララギ
呆けゆきてここは生命の果てどころ死行くをまもる我し寒しも,斎藤茂吉,あらたま,1916,アララギ
ことなくていま暮れかかる二月の夕はぬるし墓いでにけり,斎藤茂吉,あらたま,1916,アララギ
あまぐもの雷ひくし夜の土にはだらにたまる雪を目守らむ,斎藤茂吉,あらたま,1916,アララギ
ひたぶるにいかづち渡る夜空よりしらじらと雪ながれ來にけり,斎藤茂吉,あらたま,1916,アララギ
ぬば玉の暗き夜ひかりゆく雷の音とほそきて雪つもりけり,斎藤茂吉,あらたま,1916,アララギ
,斎藤茂吉,あらたま,1916,アララギ
體膚懈怠,斎藤茂吉,あらたま,1916,アララギ
ひるながら七日に一日ねむらむと晝の小床につかれつつ居り,斎藤茂吉,あらたま,1916,アララギ
ひそまりてけふは眠らむおのづから眠り足らはば起ちてゆかむか,斎藤茂吉,あらたま,1916,アララギ
晝床に眼ひらけばあかあかと玻璃戸のそとを日のわたる見ゆ,斎藤茂吉,あらたま,1916,アララギ
晝床にほのりほのりとゐる我の出で入る息のおとの幽けさ,斎藤茂吉,あらたま,1916,アララギ
わくらはの眠り戀しとあかねさす晝の小床に目をつむりけり,斎藤茂吉,あらたま,1916,アララギ
晝眠りありかたしとて眠らむか聞えくる音もかりそめならず,斎藤茂吉,あらたま,1916,アララギ
晝ごもり獨りし寐れど悲しもよ夢を視ゐもよもの殺すゆめ,斎藤茂吉,あらたま,1916,アララギ
畫床に電車くだかけうつし身の笑ふもきこゆ我が晝床に,斎藤茂吉,あらたま,1916,アララギ
,斎藤茂吉,あらたま,1916,アララギ
雨蛙,斎藤茂吉,あらたま,1916,アララギ
あまがへる鳴きこそいづれ照りとほる五月の小野の靑きなかより,斎藤茂吉,あらたま,1916,アララギ
かいかいと五月靑野に鳴きいづる晝蛙こそあはれなりしか,斎藤茂吉,あらたま,1916,アララギ
五月野の靑きにほひの照るひまや歎けば人ぞ幽かなりける,斎藤茂吉,あらたま,1916,アララギ
五月野の草のなみだちしづまりて光照りしがあまがへる嗚く,斎藤茂吉,あらたま,1916,アララギ
五月の陽てれる草野にうらがなし靑蛙ひとつ嗚きいでにけり,斎藤茂吉,あらたま,1916,アララギ
さつき野の草のひかりに鳴く蛙こころがなしく空にひびけり,斎藤茂吉,あらたま,1916,アララギ
靑がへるひかりのなかになくこゑのひびき徹りて草野かなしき,斎藤茂吉,あらたま,1916,アララギ
あをあをと五月の眞日の照りかへる草野たまゆら蛙音にいづ,斎藤茂吉,あらたま,1916,アララギ
,斎藤茂吉,あらたま,1916,アララギ
五月野,斎藤茂吉,あらたま,1916,アララギ
五月野の淺茅をてらす日のひかり人こそ見えね靑がへる鳴く,斎藤茂吉,あらたま,1916,アララギ
行きずりに聞くとふものか五月野の靑がへるこそかなしかりけれ,斎藤茂吉,あらたま,1916,アララギ
さびしさに堪ふるといはばたはやすし命みじかし靑がへるのこゑ,斎藤茂吉,あらたま,1916,アララギ
晝の野にこもりて鳴ける靑蛙ほがらにとほるこゑのさびしさ,斎藤茂吉,あらたま,1916,アララギ
靑がへる日光のふる畫の野にほがらに鳴けばましてかなしき,斎藤茂吉,あらたま,1916,アララギ
くやしさに人なげくとき野の靑さあまがへるこそ鳴きやみにけれ,斎藤茂吉,あらたま,1916,アララギ
眞日すみて天づたふとき五月野の動きて靑しかへる音にいづ,斎藤茂吉,あらたま,1916,アララギ
命あるものの悲しき真^間の五月の草に雨蛀鳴く,斎藤茂吉,あらたま,1916,アララギ
,斎藤茂吉,あらたま,1916,アララギ
初夏,斎藤茂吉,あらたま,1916,アララギ
梅の木かげのかわける砂に蟻地獄こもるも寂し夏さりにけり,斎藤茂吉,あらたま,1916,アララギ
夕疾風けむりをあぐる原とほく車を挽きて兵かへる見ゆ,斎藤茂吉,あらたま,1916,アララギ
宵はやく新宿どほり步き來て蝦墓のあぶらを買ひて持ちたり,斎藤茂吉,あらたま,1916,アララギ
一夜ふりし雨はれにつつ橡の樹の若葉もろなびく朝風ぞ吹く,斎藤茂吉,あらたま,1916,アララギ
ゆふされば相撲勝負の揭示札ひもじくて見る初夏のちまたに,斎藤茂吉,あらたま,1916,アララギ
人だかりの中にさびしく我きたり相撲の勝負まもりつつ居り,斎藤茂吉,あらたま,1916,アララギ
夜おそく電車のなかに兵ひとりしづかに居るは何かさびしき,斎藤茂吉,あらたま,1916,アララギ
雨あとのいちごの花の幽かにて咲けるを見れば心なごむも,斎藤茂吉,あらたま,1916,アララギ
,斎藤茂吉,あらたま,1916,アララギ
深夜,斎藤茂吉,あらたま,1916,アララギ
垢づきし瘋癲學に面よせてしましく讀めば夜ぞふけにける,斎藤茂吉,あらたま,1916,アララギ
煙草のけむり咽に吸ひこみ字書の面つくづくと見る我をおもへよ,斎藤茂吉,あらたま,1916,アララギ
墓原にひびきし銃の音たえて電燈のもとに夜ぞふけにける,斎藤茂吉,あらたま,1916,アララギ
階下には女中ねむりぬ階上にわれは書物を片付けて居り,斎藤茂吉,あらたま,1916,アララギ
電燈を消せば直くらし蠅ひとつひたぶる飛べる音を聞きける,斎藤茂吉,あらたま,1916,アララギ
しんしんと夜は暗し蠅の飛びめぐる音のたえまのしづけさあはれ,斎藤茂吉,あらたま,1916,アララギ
夜は暗し寢てをる我の顏のべを飛びて遠そく蠅の寂しさ,斎藤茂吉,あらたま,1916,アララギ
汗いでてなほ目ざめゐる夜は暗しうつつは深し蠅の飛ぶおと,斎藤茂吉,あらたま,1916,アララギ
ひたぶるに暗黑を飛ぶ蠅ひとつ障子にあたる音ぞきこゆる,斎藤茂吉,あらたま,1916,アララギ
部屋なかの闇を飛ぶ蠅かすかなる戸漏る光にむかひて飛びつ,斎藤茂吉,あらたま,1916,アララギ
"*ニイチエは—""Die Welt ist tief""と謂へり。",斎藤茂吉,あらたま,1916,アララギ
,斎藤茂吉,あらたま,1916,アララギ
暗綠林,斎藤茂吉,あらたま,1916,アララギ
さやぎつつ鴉のむれのかくろへる暗綠の森をわれは見て立つ,斎藤茂吉,あらたま,1916,アララギ
うれひつつひとり來りし野のはての暗綠林に近づく群鳥,斎藤茂吉,あらたま,1916,アララギ
かぜむかふ欅太樹の日てり葉の靑きうづだちしまし見て居り,斎藤茂吉,あらたま,1916,アララギ
眞日あかく傾きにけり一つ樹のもとに佇ずむ徒步兵ひとり,斎藤茂吉,あらたま,1916,アララギ
風はやし橡の高樹のをさな葉のもろむきなびき鴉ちかづく,斎藤茂吉,あらたま,1916,アララギ
くもり日の晝も過ぎたるすかんぽの穗のくれなゐにこころなげけり,斎藤茂吉,あらたま,1916,アララギ
おもおもと空の曇れる晝すぎて岡のぼりつめ心しづけし,斎藤茂吉,あらたま,1916,アララギ
みちのくの我家の里ゆおくり來し蕨を沾でてけふも食ひけり,斎藤茂吉,あらたま,1916,アララギ
,斎藤茂吉,あらたま,1916,アララギ
蠅,斎藤茂吉,あらたま,1916,アララギ
ひた走る電車のなかを飛ぶ蠅のおとの寂しさしぶくさみたれ,斎藤茂吉,あらたま,1916,アララギ
